Date,CAT,DE,HON,GE,LMT,NOC,RTX,BA,MMM,ITW,EMR,ETN,PH,GD,UPS,FDX,CMI,DAL,LUV,UNP,NSC,CSX,ROP,ROK,OTIS
2020-12-10,162.62925720214844,237.58001708984375,180.41273498535156,55.165374755859375,312.1216735839844,275.9442443847656,65.07015228271484,234.42999267578125,120.64894104003906,180.5416717529297,73.3315200805664,106.11123657226562,256.7211608886719,134.4547882080078,133.60723876953125,265.004150390625,194.4429473876953,41.46240997314453,43.73221969604492,182.13650512695312,213.14517211914062,28.048866271972656,403.2913818359375,226.49143981933594,59.362884521484375
2020-12-11,163.02932739257812,239.7547607421875,182.6767120361328,54.38565444946289,317.6721496582031,277.92303466796875,64.98993682861328,230.3300018310547,121.01753234863281,181.4419403076172,74.28691101074219,106.52588653564453,256.9456787109375,135.31320190429688,136.9913787841797,264.2920227050781,193.65475463867188,40.606319427490234,42.87252426147461,182.62213134765625,212.0186004638672,28.18286895751953,408.5876159667969,226.44552612304688,59.1124382019043
2020-12-14,161.90182495117188,236.89569091796875,180.3106231689453,52.7774772644043,314.1152648925781,275.54669189453125,63.126461029052734,228.6199951171875,120.36383819580078,177.9745635986328,72.47528839111328,104.904052734375,252.65194702148438,137.11041259765625,135.5433807373047,260.703857421875,191.6620330810547,39.5848274230957,42.29316711425781,178.0714111328125,206.61111450195312,27.7122802734375,410.9587707519531,223.0220489501953,58.23127746582031
2020-12-15,165.2571563720703,245.58523559570312,182.28521728515625,54.14198684692383,314.03619384765625,276.0181579589844,63.34044647216797,229.5,121.47652435302734,181.5666961669922,74.30494689941406,107.3921127319336,257.9839782714844,138.23704528808594,135.99078369140625,260.8863830566406,198.41946411132812,40.71332550048828,43.37712860107422,180.13992309570312,207.10678100585938,28.11742401123047,413.94207763671875,226.90444946289062,60.03998947143555
2020-12-16,163.2202911376953,244.7697296142578,178.9998779296875,53.264793395996094,311.4015197753906,279.2545471191406,62.92137908935547,225.8699951171875,121.98416137695312,181.70037841796875,73.2593994140625,106.31396484375,255.19639587402344,137.16409301757812,138.3987274169922,263.6893615722656,197.33897399902344,39.964237213134766,42.732357025146484,178.83587646484375,206.11544799804688,27.768375396728516,408.976318359375,225.53688049316406,60.51303482055664
2020-12-17,162.92027282714844,247.9662628173828,180.38717651367188,53.021141052246094,309.6712951660156,278.0247497558594,62.9837760925293,221.24000549316406,122.84651184082031,183.71485900878906,73.15126037597656,106.240234375,255.65469360351562,135.54562377929688,141.9455108642578,266.8393249511719,197.87924194335938,39.993431091308594,43.349090576171875,181.8486785888672,207.90895080566406,28.220272064208984,413.048095703125,226.87693786621094,61.02318572998047
2020-12-18,164.5479278564453,253.7498779296875,178.7700653076172,52.72846603393555,312.6837463378906,280.2901916503906,62.56474304199219,219.75,122.68651580810547,181.7271270751953,72.91692352294922,106.96822357177734,254.43865966796875,136.51136779785156,142.5068359375,251.60098266601562,198.65858459472656,39.575111389160156,43.0126838684082,183.10777282714844,209.44100952148438,28.254552841186523,414.16558837890625,227.57444763183594,60.85622024536133
2020-12-21,163.82046508789062,250.98458862304688,179.29774475097656,52.53336715698242,306.8169860839844,275.1860656738281,62.11891555786133,219.30999755859375,122.15802764892578,181.7093048095703,72.61947631835938,107.79756927490234,255.1776580810547,133.82887268066406,140.39990234375,248.28680419921875,199.0216827392578,39.04977035522461,42.79776382446289,182.10946655273438,207.41322326660156,27.952251434326172,410.46319580078125,228.86859130859375,61.35710144042969
2020-12-22,160.56512451171875,252.40005493164062,176.98269653320312,51.75291442871094,305.5611572265625,273.9932556152344,61.74443054199219,218.77999877929688,121.54606628417969,180.39901733398438,71.5018310546875,107.4566421508789,250.30397033691406,130.9943389892578,142.00250244140625,249.5102081298828,197.9766387939453,37.88236618041992,42.34922790527344,181.23715209960938,207.73768615722656,27.908620834350586,401.27001953125,227.28994750976562,60.67073059082031
2020-12-23,162.23825073242188,251.16270446777344,178.7275390625,52.972354888916016,308.7930603027344,278.0062255859375,63.055118560791016,219.69000244140625,120.99667358398438,180.03358459472656,72.1237564086914,107.83442687988281,252.00643920898438,132.46974182128906,140.44058227539062,247.1637420654297,198.57888793945312,39.14706039428711,43.685489654541016,180.92233276367188,210.09896850585938,27.946014404296875,407.6255187988281,227.6479034423828,60.87477111816406
2020-12-24,163.2748565673828,252.3531494140625,178.33599853515625,51.94803237915039,309.1180419921875,277.0261535644531,62.65388870239258,217.14999389648438,121.36528015136719,180.44363403320312,72.08769989013672,108.8020248413086,252.05325317382812,133.23873901367188,140.07452392578125,245.4381866455078,200.62472534179688,38.65090560913086,43.24630355834961,182.91891479492188,211.2435302734375,28.0644474029541,408.2668762207031,228.19859313964844,61.02318572998047
2020-12-25,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,162.1928253173828,250.75025939941406,178.6849365234375,51.899253845214844,311.0589904785156,280.18841552734375,62.974884033203125,216.08999633789062,121.49738311767578,180.39013671875,71.98856353759766,108.4794921875,250.41624450683594,132.97938537597656,139.39932250976562,240.06961059570312,198.5080108642578,39.059505462646484,43.0967903137207,184.95144653320312,213.33447265625,28.24832534790039,411.21142578125,227.95077514648438,61.21797561645508
