Date,JNJ,PFE,MRK,ABBV,LLY,BMY,GILD,AMGN,MDT,SYK,ISRG,DHR,TMO,UNH,HUM,CI,HCA,CVS,ZBH,REGN
2020-11-13,129.15411376953125,28.71080207824707,66.06109619140625,81.49796295166016,135.1156005859375,52.36783218383789,49.773468017578125,202.7837677001953,97.0974349975586,220.24920654296875,251.1266632080078,203.64810180664062,482.353515625,328.85546875,414.77349853515625,202.11178588867188,143.39024353027344,60.38176727294922,141.20982360839844,563.3057861328125
2020-11-16,129.97264099121094,27.751806259155273,65.31977844238281,80.93840026855469,133.4169464111328,53.09218978881836,50.1842155456543,202.18577575683594,96.33794403076172,223.89564514160156,252.72999572753906,199.28323364257812,474.85052490234375,329.91876220703125,410.1224060058594,200.83299255371094,145.37232971191406,62.482364654541016,140.14627075195312,556.2051391601562
2020-11-17,128.6802520751953,28.23960304260254,66.39508819580078,81.63784790039062,133.99583435058594,52.944026947021484,50.08563995361328,198.5804901123047,95.060546875,219.77442932128906,249.71665954589844,199.02288818359375,472.8858947753906,325.55462646484375,404.0836486816406,197.6221923828125,146.5309295654297,57.09901809692383,140.08099365234375,535.1818237304688
2020-11-18,126.97427368164062,28.459001541137695,65.37679290771484,81.23464965820312,133.01834106445312,51.04258346557617,50.02813720703125,194.5822296142578,94.48228454589844,220.07827758789062,244.4600067138672,194.98777770996094,448.3827209472656,318.5367431640625,400.4565124511719,194.05271911621094,144.8169708251953,56.42716598510742,138.25238037109375,516.17724609375
2020-11-19,126.77609252929688,28.357135772705078,65.49085998535156,82.01637268066406,136.0930633544922,51.10844039916992,49.806339263916016,191.94235229492188,95.8028335571289,221.79708862304688,244.64999389648438,195.9683380126953,447.3164978027344,311.5931091308594,389.67083740234375,188.35800170898438,144.44349670410156,56.180538177490234,136.70370483398438,511.87109375
2020-11-20,126.10404205322266,28.756755828857422,65.53972625732422,82.97914123535156,138.0669403076172,50.71332931518555,49.379154205322266,190.6608428955078,95.07781219482422,221.1228485107422,243.5800018310547,195.90756225585938,445.2827453613281,309.46649169921875,388.7520751953125,188.43154907226562,141.0825653076172,56.4611930847168,136.15328979492188,515.87890625
2020-11-23,124.81999206542969,28.6157169342041,65.40123748779297,84.08181762695312,136.0646209716797,50.968505859375,49.19843673706055,189.84927368164062,95.77692413330078,221.2653045654297,239.68333435058594,191.8463897705078,440.3367614746094,309.79925537109375,391.69976806640625,190.38197326660156,143.0550994873047,56.7928581237793,136.43312072753906,520.7219848632812
2020-11-24,124.81999206542969,28.678401947021484,65.28717041015625,85.54653930664062,137.50701904296875,52.0385856628418,49.494171142578125,188.34559631347656,98.44386291503906,228.19735717773438,241.6133270263672,189.39930725097656,433.9493408203125,310.6776428222656,390.64703369140625,193.2155303955078,148.4747314453125,58.19609451293945,140.94857788085938,503.30859375
2020-11-25,124.65516662597656,28.623544692993164,65.22201538085938,85.74402618408203,137.3646697998047,51.72578048706055,48.8780517578125,188.21743774414062,97.79653930664062,221.93948364257812,242.1233367919922,188.49684143066406,442.7258605957031,308.0703125,383.80419921875,190.4463348388672,147.09585571289062,57.51573181152344,139.64247131347656,505.5063781738281
2020-11-26,,,,,,,,,,,,,,,,,,,,
2020-11-27,124.93280792236328,29.172046661376953,65.05908203125,86.31180572509766,139.9174041748047,51.898643493652344,49.31344223022461,192.0619659423828,98.90129089355469,221.07534790039062,243.27333068847656,188.11500549316406,447.6127014160156,312.4620666503906,389.02001953125,195.49703979492188,146.5500946044922,57.719852447509766,139.95968627929688,511.2147216796875
2020-11-30,125.52275085449219,30.018285751342773,65.49085998535156,86.05673217773438,138.21873474121094,51.363609313964844,49.83918762207031,189.69546508789062,98.13314056396484,221.63565063476562,242.01666259765625,194.927001953125,459.04486083984375,310.9827880859375,383.3066711425781,192.4059295654297,143.7349395751953,57.65180969238281,139.1200408935547,513.183837890625
2020-12-01,127.92598724365234,30.880207061767578,66.43586730957031,85.61235809326172,138.1333465576172,51.37184524536133,50.20885467529297,192.2926483154297,96.78670501708984,219.3566131591797,244.5500030517578,195.24806213378906,465.0867919921875,315.4671325683594,388.2830810546875,190.9063720703125,145.4585418701172,57.439205169677734,136.30255126953125,511.234619140625
2020-12-02,128.5246124267578,31.9693603515625,66.66395568847656,86.39410400390625,137.7537841796875,51.18252182006836,50.21707534790039,193.55706787109375,98.04682922363281,222.45228576660156,250.42666625976562,195.0745849609375,472.7773132324219,321.3568420410156,388.3118896484375,195.0462646484375,146.11923217773438,59.21663284301758,137.93521118164062,502.3439025878906
2020-12-03,129.270751953125,31.413026809692383,66.3543930053711,86.18836975097656,136.75738525390625,50.8532600402832,49.99528121948242,193.85606384277344,97.07154083251953,222.94610595703125,252.9066619873047,193.80758666992188,471.1089172363281,322.3923645019531,386.4743957519531,196.3158721923828,146.26283264160156,61.6744270324707,136.49842834472656,496.088623046875
2020-12-04,130.37258911132812,31.608924865722656,66.75357818603516,88.27848815917969,140.8759002685547,51.28952407836914,50.57030487060547,195.82102966308594,98.26260375976562,227.51364135742188,260.11334228515625,194.75343322753906,468.5617980957031,324.67510986328125,395.03973388671875,200.2349853515625,150.98341369628906,63.35831069946289,139.05471801757812,489.73388671875
2020-12-07,129.2447052001953,32.32197189331055,67.21793365478516,87.09354400634766,139.8984832763672,50.37584686279297,49.97062301635742,193.46307373046875,97.19237518310547,224.86428833007812,254.79666137695312,196.24603271484375,466.8539123535156,322.7913818359375,386.38824462890625,201.09979248046875,148.7715301513672,62.6184196472168,135.80807495117188,492.67755126953125
2020-12-08,131.48312377929688,33.34843444824219,67.76376342773438,88.61589050292969,141.6825714111328,50.30999755859375,50.249935150146484,195.59036254882812,95.9581527709961,223.5823211669922,255.11666870117188,193.9464111328125,467.9300537109375,322.7913818359375,391.6900939941406,201.1733856201172,152.4293212890625,62.81400680541992,136.7410430908203,494.3980407714844
2020-12-09,132.82786560058594,32.79209518432617,68.00000762939453,89.42229461669922,149.9386444091797,50.14537811279297,49.96240997314453,196.3677978515625,97.48583221435547,224.03811645507812,251.1699981689453,193.3737030029297,455.4908142089844,319.5901184082031,390.59912109375,199.63702392578125,153.1378936767578,62.533390045166016,137.33810424804688,485.9449157714844
2020-12-10,132.09042358398438,32.69807434082031,67.6089859008789,88.4512939453125,152.78558349609375,49.552711486816406,49.65846633911133,194.92398071289062,97.2527847290039,223.27847290039062,252.69000244140625,193.6947784423828,462.7568664550781,315.173095703125,380.3973083496094,195.63507080078125,154.9188995361328,61.41078567504883,136.199951171875,476.3381652832031
2020-12-11,132.6977081298828,32.2201042175293,67.58452606201172,87.50498962402344,151.87457275390625,49.98074722290039,49.91312026977539,194.27468872070312,96.9938735961914,220.49612426757812,253.3333282470703,194.16334533691406,465.373046875,312.7790222167969,374.3201599121094,192.59909057617188,150.8781280517578,60.8750114440918,132.178955078125,477.1238098144531
2020-12-14,129.33148193359375,30.723501205444336,65.95056915283203,85.74402618408203,149.853271484375,49.363399505615234,49.71372985839844,196.03460693359375,96.64000701904297,219.30911254882812,254.92999267578125,191.86376953125,461.38275146484375,311.9067687988281,371.54486083984375,186.89520263671875,154.0283660888672,59.293174743652344,133.02793884277344,497.6201171875
2020-12-15,130.6328887939453,30.33171272277832,66.08191680908203,84.60845947265625,158.88754272460938,51.503543853759766,49.373111724853516,196.94873046875,99.16021728515625,222.26235961914062,256.163330078125,193.6600341796875,465.1853942871094,315.19171142578125,375.46868896484375,189.06639099121094,154.1145782470703,59.43775177001953,137.8979034423828,489.0774841308594
2020-12-16,129.85202026367188,29.65001678466797,65.54820251464844,86.10608673095703,163.2718048095703,51.31421661376953,48.96603775024414,195.16319274902344,99.22927856445312,223.27847290039062,255.35333251953125,192.5580291748047,452.1576232910156,314.88543701171875,375.880126953125,186.20523071289062,154.6986541748047,58.9530029296875,138.8681182861328,483.88629150390625
2020-12-17,133.2789764404297,29.798885345458984,65.53999328613281,86.31180572509766,163.8222198486328,51.478851318359375,49.07402801513672,197.5553436279297,99.54859924316406,226.09878540039062,259.9266662597656,194.80552673339844,459.2197570800781,317.0475769042969,379.3062744140625,186.4168243408203,157.753173828125,59.18260955810547,141.20982360839844,493.4731140136719
2020-12-18,134.05116271972656,29.5246524810791,65.30188751220703,85.94973754882812,162.65493774414062,51.956268310546875,49.082340240478516,195.2059326171875,100.7310562133789,227.90298461914062,263.0299987792969,196.21127319335938,460.9383239746094,313.99456787109375,374.78912353515625,181.31088256835938,157.36058044433594,59.14859390258789,141.66696166992188,496.1383361816406
2020-12-21,132.75843811035156,29.289581298828125,65.10482025146484,85.34080505371094,160.16860961914062,51.04258346557617,48.633731842041016,194.19776916503906,99.27381134033203,223.02206420898438,263.0899963378906,196.25473022460938,457.1850280761719,311.8603210449219,372.2912902832031,181.58685302734375,156.16366577148438,58.43423080444336,138.6348876953125,494.00018310546875
2020-12-22,132.49813842773438,28.78809928894043,65.21156311035156,84.59199523925781,158.2137451171875,50.56516647338867,47.35432815551758,188.79844665527344,99.429931640625,223.4303741455078,271.75,193.45181274414062,459.4765625,310.86749267578125,371.7457580566406,179.3696746826172,156.3360595703125,57.16706085205078,140.71536254882812,487.3570556640625
2020-12-23,131.82147216796875,29.336589813232422,65.49073028564453,84.98696899414062,157.03700256347656,50.211219787597656,47.67001724243164,190.4644012451172,98.8314437866211,224.41795349121094,269.8833312988281,191.4038848876953,452.700927734375,313.2615966796875,387.6802062988281,183.058837890625,158.81602478027344,57.83892822265625,138.98944091796875,489.47528076171875
2020-12-24,132.28126525878906,29.203386306762695,65.802734375,84.97051239013672,158.15684509277344,50.334693908691406,47.41248321533203,190.45582580566406,98.90950775146484,225.11114501953125,269.0,192.35919189453125,452.4540100097656,316.2309265136719,387.4313659667969,182.92086791992188,157.5193634033203,57.80488586425781,139.46595764160156,486.2332458496094
2020-12-25,,,,,,,,,,,,,,,,,,,,
2020-12-28,132.90591430664062,28.850780487060547,66.05729675292969,85.1268539428711,158.0049591064453,50.30999755859375,47.262939453125,191.07095336914062,99.8636474609375,226.51657104492188,268.38665771484375,193.45346069335938,455.0614929199219,321.0191345214844,392.5610656738281,185.98440551757812,157.28916931152344,57.8984489440918,139.12954711914062,480.29620361328125
2020-12-29,133.73013305664062,29.030996322631836,66.85375213623047,86.15544128417969,158.08087158203125,50.55693435668945,47.21309280395508,193.82188415527344,100.24529266357422,228.7101287841797,271.3566589355469,193.54901123046875,457.1653137207031,322.318115234375,390.5129699707031,187.72320556640625,157.1260986328125,57.745365142822266,142.4561767578125,481.54925537109375
2020-12-30,135.38723754882812,28.78809928894043,66.17223358154297,86.62451171875,158.4889678955078,50.968505859375,47.06355667114258,194.0782012939453,100.3060073852539,230.46194458007812,271.76666259765625,191.6557159423828,456.0491943359375,320.12823486328125,389.2525634765625,187.72320556640625,155.7067108154297,57.61780548095703,142.24127197265625,475.66192626953125
2020-12-31,136.54115295410156,28.842941284179688,67.165771484375,88.17149353027344,160.2255859375,51.46632385253906,48.40110778808594,196.42755126953125,101.60711669921875,233.29917907714844,272.70001220703125,192.9236602783203,460.0493469238281,325.40814208984375,393.2398376464844,191.52272033691406,157.73037719726562,58.0855598449707,143.9886932373047,480.44537353515625
2021-01-01,,,,,,,,,,,,,,,,,,,,
2021-01-04,135.77767944335938,28.842941284179688,66.4760513305664,86.7397232055664,157.05599975585938,50.92702102661133,49.93804168701172,193.6425018310547,100.63562774658203,227.56764221191406,266.6666564941406,193.870361328125,466.0150451660156,324.3132629394531,395.0802001953125,189.2595672607422,156.94390869140625,59.522804260253906,143.1196746826172,480.1967468261719
2021-01-05,137.37399291992188,29.14069938659668,66.59099578857422,87.63663482666016,157.83416748046875,51.06806182861328,49.84667205810547,194.5822296142578,101.44229888916016,228.1769561767578,268.3500061035156,198.6816864013672,471.8424377441406,319.951904296875,396.0290832519531,187.1527862548828,158.2578887939453,59.92251205444336,145.595947265625,480.7834777832031
2021-01-06,138.66673278808594,28.889951705932617,67.6419906616211,86.87959289550781,155.9362030029297,51.19252014160156,51.4666748046875,199.2725372314453,103.09904479980469,230.83326721191406,264.2633361816406,205.2647705078125,479.2403259277344,333.3792419433594,419.6558837890625,192.67271423339844,163.5807342529297,61.70844650268555,149.74484252929688,467.4971618652344
2021-01-07,139.13522338867188,29.03883934020996,68.98860931396484,87.80944061279297,157.369140625,51.74012756347656,51.940216064453125,199.93032836914062,102.96025848388672,232.04244995117188,269.4033203125,208.18289184570312,494.1742858886719,338.72406005859375,429.1066589355469,202.85694885253906,166.4963836669922,62.92457580566406,148.85714721679688,478.5459289550781
2021-01-08,138.8489227294922,29.093687057495117,68.17572021484375,88.27025604248047,157.9195556640625,51.84798812866211,52.37222671508789,203.7491912841797,103.83633422851562,231.9853057861328,272.9166564941406,211.4656982421875,505.9969787597656,337.2022705078125,418.639892578125,203.1329803466797,165.2303924560547,63.664466857910156,148.5301055908203,495.979248046875
2021-01-11,138.26760864257812,29.59516716003418,69.79328155517578,89.7103042602539,176.45315551757812,53.905643463134766,51.93191146850586,202.96322631835938,102.78677368164062,230.26205444335938,271.2166748046875,212.01284790039062,507.0340270996094,334.75250244140625,415.5439453125,202.32333374023438,164.3575897216797,64.69351196289062,148.57681274414062,500.1461486816406
2021-01-12,137.1918487548828,29.13286018371582,68.22498321533203,90.33568572998047,169.67739868164062,54.28730773925781,51.574684143066406,202.12599182128906,101.7372055053711,227.74850463867188,262.80999755859375,209.03396606445312,492.6333923339844,331.61602783203125,404.9335021972656,207.19931030273438,165.19200134277344,64.85511016845703,149.35244750976562,502.9605407714844
2021-01-13,136.98361206054688,28.882122039794922,67.6091537475586,92.53276062011719,176.03553771972656,53.70652389526367,51.12605667114258,203.1084442138672,102.97760009765625,231.54733276367188,270.48333740234375,208.2957763671875,495.53729248046875,329.4540100097656,398.75115966796875,205.902099609375,163.49444580078125,63.715492248535156,152.2678985595703,509.07659912109375
2021-01-14,139.3781280517578,28.795934677124023,67.46957397460938,92.93238067626953,177.16485595703125,54.776817321777344,51.84053039550781,206.45742797851562,102.1535873413086,230.5286102294922,265.71331787109375,205.5687255859375,490.7964172363281,325.2690124511719,388.1886291503906,203.1145782470703,161.38449096679688,63.826072692871094,151.9595489501953,515.053466796875
2021-01-15,139.07449340820312,28.756755828857422,68.4631118774414,92.00829315185547,181.03668212890625,55.20827102661133,52.6131477355957,209.72950744628906,101.32087707519531,230.3953094482422,259.47332763671875,205.61215209960938,496.9497375488281,325.98358154296875,389.92352294921875,201.3849639892578,161.86399841308594,64.85511016845703,149.62338256835938,515.0733032226562
2021-01-18,,,,,,,,,,,,,,,,,,,,
2021-01-19,141.22613525390625,28.780269622802734,68.30707550048828,93.39026641845703,188.35328674316406,55.37420654296875,55.72026062011719,212.10455322265625,102.6219711303711,230.4715118408203,259.4700012207031,205.05636596679688,501.1375427246094,326.8094177246094,390.40277099609375,203.1329803466797,159.30325317382812,64.12371063232422,149.4458770751953,530.9453735351562
2021-01-20,140.87905883789062,28.600034713745117,67.70769500732422,93.75655364990234,190.99148559570312,54.96765899658203,56.48456573486328,215.5987548828125,103.47203063964844,233.4610595703125,266.19000244140625,205.87271118164062,509.49359130859375,325.5566711425781,394.2655029296875,210.1432342529297,161.07757568359375,63.99613571166992,152.7444305419922,539.2791748046875
2021-01-21,140.3151397705078,28.584369659423828,66.65668487548828,92.62434387207031,192.02584838867188,53.250179290771484,55.6454963684082,215.3168487548828,102.27501678466797,231.9281768798828,266.22332763671875,202.44219970703125,506.0563659667969,329.4168701171875,397.39019775390625,208.09165954589844,160.55007934570312,63.42253875732422,152.27725219726562,532.5264892578125
