Date,XOM,CVX,COP,EOG,SLB,HAL,DVN,OXY,MPC,VLO,PSX,KMI,WMB,EQT
2024-03-05,99.4546127319336,138.5536346435547,105.31849670410156,109.99691772460938,47.59375762939453,33.832435607910156,42.642086029052734,58.6689338684082,168.7621612548828,136.9829864501953,137.33456420898438,16.297595977783203,34.2226448059082,37.04615020751953
2024-03-06,100.51844024658203,137.38658142089844,106.0476303100586,110.27144622802734,47.9483642578125,33.99591827392578,42.992069244384766,59.162837982177734,168.7717742919922,137.1063690185547,137.96435546875,16.389570236206055,34.073402404785156,36.656089782714844
2024-03-07,101.08332824707031,138.349853515625,106.7578353881836,111.55884552001953,48.66715621948242,34.80374526977539,43.40827941894531,59.33778762817383,172.42315673828125,141.4633331298828,140.2579803466797,16.435556411743164,33.945823669433594,36.33428192138672
2024-03-08,102.0341796875,138.82225036621094,107.00404357910156,112.38240051269531,48.302974700927734,34.82297897338867,43.66367721557617,59.09480667114258,172.98193359375,141.93797302246094,140.38015747070312,16.398767471313477,34.06867980957031,36.58782958984375
2024-03-11,102.63671112060547,140.7858123779297,109.13465881347656,114.37028503417969,49.385948181152344,35.25574493408203,44.146095275878906,59.794612884521484,174.77389526367188,142.8966522216797,140.5211639404297,16.527530670166016,34.62625503540039,33.7501220703125
2024-03-12,101.97769927978516,140.68392944335938,108.91685485839844,114.38922882080078,49.424293518066406,35.34230041503906,44.060970306396484,59.42526626586914,174.5715789794922,143.07701110839844,141.34835815429688,16.499937057495117,34.71131134033203,33.66236114501953
2024-03-13,103.1168441772461,142.536376953125,111.31261444091797,116.02687072753906,50.38268280029297,35.13072204589844,44.84607696533203,60.3194694519043,181.9802703857422,150.575927734375,145.202392578125,16.453950881958008,34.90976333618164,33.1650276184082
2024-03-14,104.94326782226562,144.21286010742188,113.4242935180664,117.1817626953125,51.015220642089844,36.16935729980469,45.69583511352539,60.82488250732422,182.0669708251953,151.29733276367188,145.11778259277344,16.15043830871582,34.85306167602539,32.94074249267578
2024-03-15,104.75496673583984,144.0739288330078,113.67049407958984,116.2351303100586,50.67020034790039,36.284759521484375,45.46668243408203,60.892921447753906,186.74917602539062,155.38848876953125,149.48878479003906,16.187231063842773,34.96646499633789,32.59944152832031
2024-03-18,105.72467041015625,143.9442596435547,113.87881469726562,116.97349548339844,51.2068977355957,36.265525817871094,45.32347106933594,61.42749786376953,186.40234375,157.8469696044922,147.35499572753906,16.22402000427246,35.17437744140625,32.570186614990234
